Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
74.98	0.070	0.00	346.32	138.53	21.33	0.02697	0.00024	0.073	-0.09	75.00	0.070	0.00	
75.01	0.070	5.00	347.44	138.97	21.70	0.02682	0.00030	0.073	4.91	75.00	0.070	5.00	
75.00	0.070	10.00	349.85	139.94	22.03	0.03553	0.00021	0.073	9.68	75.00	0.070	10.00	
74.99	0.070	15.00	350.97	140.39	21.75	0.03289	0.00015	0.073	14.76	75.00	0.070	15.00	
74.99	0.070	20.00	353.63	141.45	22.24	-0.00271	0.00037	0.073	19.66	75.00	0.070	20.00	
75.00	0.070	25.00	356.12	142.45	21.87	0.04378	0.00008	0.072	24.65	75.00	0.070	25.00	
75.01	0.070	30.00	359.07	143.63	21.99	0.04381	0.00030	0.072	29.40	75.00	0.070	30.00	
74.99	0.070	35.00	361.84	144.74	21.94	0.00874	0.00028	0.072	34.21	75.00	0.070	35.00	
75.00	0.070	40.00	365.10	146.04	22.00	0.00730	0.00037	0.072	38.97	75.00	0.070	40.00	
75.01	0.070	45.00	368.06	147.22	21.81	0.00662	0.00028	0.071	43.87	75.00	0.070	45.00	
75.00	0.070	50.00	373.06	149.23	22.39	0.02643	0.00040	0.071	48.69	75.00	0.070	50.00	
74.99	0.070	55.00	377.03	150.81	22.47	0.05472	0.00052	0.070	53.48	75.00	0.070	55.00	
75.02	0.070	60.00	383.03	153.21	23.00	0.01177	0.00049	0.070	58.52	75.00	0.070	60.00	
75.00	0.070	65.00	388.05	155.22	23.14	0.01627	0.00042	0.070	63.52	75.00	0.070	65.00	
75.01	0.070	70.00	394.00	157.60	23.42	-0.02042	0.00048	0.069	68.61	75.00	0.070	70.00	
74.99	0.070	75.00	399.03	159.61	23.69	0.04106	0.00030	0.069	73.71	75.00	0.070	75.00	
75.01	0.070	78.00	401.57	160.63	23.67	-0.02032	0.00007	0.069	76.97	75.00	0.070	78.00	
75.00	0.070	81.00	404.59	161.84	24.21	0.06290	0.00016	0.069	80.02	75.00	0.070	81.00	
74.99	0.070	84.00	407.26	162.90	24.92	0.02428	0.00009	0.069	83.20	75.00	0.070	84.00	
75.01	0.069	86.00	409.09	163.63	25.23	0.04305	0.00010	0.069	85.29	75.00	0.070	86.00	
74.99	0.070	88.00	408.92	163.57	25.22	0.02165	0.00004	0.069	87.48	75.00	0.070	88.00	
75.01	0.070	90.00	409.12	163.65	24.99	0.04661	-0.00000	0.069	89.59	75.00	0.070	90.00	
75.01	0.070	92.00	409.27	163.71	25.42	-0.01118	0.00026	0.069	91.62	75.00	0.070	92.00	
75.00	0.070	94.00	407.82	163.13	24.93	0.04613	0.00007	0.070	93.53	75.00	0.070	94.00	
75.00	0.070	96.00	407.36	162.94	24.83	0.01834	0.00016	0.070	95.65	75.00	0.070	96.00	
75.00	0.070	99.00	405.39	162.15	24.36	0.02789	0.00011	0.070	98.50	75.00	0.070	99.00	
75.00	0.070	102.00	401.84	160.74	23.82	0.00884	-0.00015	0.070	101.54	75.00	0.070	102.00	
75.01	0.070	105.00	399.63	159.85	23.70	0.04511	0.00002	0.070	104.63	75.00	0.070	105.00	
74.99	0.070	110.00	394.18	157.67	22.84	0.00575	0.00007	0.071	109.42	75.00	0.070	110.00	
75.00	0.070	115.00	390.17	156.07	23.37	0.00978	0.00022	0.071	114.40	75.00	0.070	115.00	
75.00	0.070	120.00	384.03	153.61	22.77	-0.01318	0.00024	0.071	119.18	75.00	0.070	120.00	
75.00	0.070	125.00	379.53	151.81	22.27	-0.01726	0.00035	0.071	124.29	75.00	0.070	125.00	
75.00	0.070	130.00	375.94	150.38	22.58	-0.04595	0.00037	0.071	129.21	75.00	0.070	130.00	
75.00	0.070	135.00	370.83	148.33	21.61	0.06192	0.00013	0.071	134.13	75.00	0.070	135.00	
75.00	0.070	140.00	368.11	147.24	21.64	0.05388	0.00034	0.071	139.50	75.00	0.070	140.00	
75.00	0.070	145.00	366.41	146.57	22.78	-0.00234	0.00062	0.071	144.48	75.00	0.070	145.00	
75.00	0.071	150.00	363.31	145.32	22.28	-0.02135	0.00041	0.071	149.49	75.00	0.070	150.00	
75.00	0.070	155.00	359.60	143.84	22.30	0.01064	-0.00018	0.071	154.61	75.00	0.070	155.00	
75.00	0.070	160.00	356.92	142.77	22.01	0.07084	0.00025	0.071	159.54	75.00	0.070	160.00	
74.99	0.070	165.00	353.10	141.24	21.16	0.05058	0.00008	0.071	164.53	75.00	0.070	165.00	
75.00	0.070	170.00	352.72	141.09	22.38	0.00512	0.00051	0.071	169.54	75.00	0.070	170.00	
75.00	0.070	175.00	350.16	140.06	21.94	0.05602	-0.00023	0.071	174.62	75.00	0.070	175.00	
75.01	0.070	180.00	348.26	139.30	21.65	0.02331	-0.00003	0.071	179.62	75.00	0.070	180.00	
75.00	0.070	185.00	346.99	138.80	21.44	0.03278	0.00005	0.071	184.81	75.00	0.070	185.00	
75.00	0.070	190.00	345.25	138.10	21.22	0.04839	-0.00007	0.071	189.91	75.00	0.070	190.00	
75.00	0.070	195.00	346.29	138.52	21.83	-0.00189	0.00022	0.071	194.94	75.00	0.070	195.00	
75.00	0.070	200.00	345.80	138.32	21.66	-0.01408	0.00019	0.071	200.07	75.00	0.070	200.00	
75.00	0.070	205.00	346.41	138.56	21.76	0.02703	0.00037	0.071	204.95	75.00	0.070	205.00	
75.00	0.070	210.00	346.93	138.77	21.14	0.02554	0.00030	0.072	210.01	75.00	0.070	210.00	
75.00	0.070	215.00	348.79	139.52	21.50	0.00384	0.00054	0.072	215.04	75.00	0.070	215.00	
75.00	0.070	220.00	351.30	140.52	21.71	-0.02178	0.00058	0.072	219.93	75.00	0.070	220.00	
75.00	0.070	225.00	353.34	141.34	21.04	0.01211	0.00026	0.072	224.78	75.00	0.070	225.00	
75.00	0.070	230.00	357.29	142.92	21.63	0.01178	0.00066	0.072	229.63	75.00	0.070	230.00	
75.00	0.070	235.00	362.40	144.96	21.71	0.01250	0.00044	0.072	234.43	75.00	0.070	235.00	
74.99	0.070	240.00	368.08	147.23	22.92	-0.00884	0.00066	0.072	239.35	75.00	0.070	240.00	
