Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
14.99	7.000	0.00	998.58	399.43	25.64	0.03934	0.01831	7.115	-0.13	15.00	7.000	0.00
14.99	7.000	5.00	1003.55	401.42	27.82	-0.35475	0.02246	7.116	4.66	15.00	7.000	5.00
15.00	7.000	10.00	995.99	398.40	25.86	-0.47662	0.02537	7.116	9.50	15.00	7.000	10.00
15.00	7.000	15.00	1002.85	401.14	27.30	-1.00000	0.02989	7.113	14.34	15.00	7.000	15.00
15.00	7.000	20.00	1012.13	404.85	28.98	0.27026	0.02924	7.107	19.16	15.00	7.000	20.00
15.00	7.000	25.00	1016.88	406.75	28.05	-1.00000	0.03410	7.100	24.00	15.00	7.000	25.00
15.00	7.000	30.00	1033.95	413.58	27.17	-1.00000	0.03392	7.092	28.83	15.00	7.000	30.00
15.00	7.000	35.00	1045.06	418.02	23.77	-1.00000	0.03222	7.083	33.69	15.00	7.000	35.00
15.01	7.000	40.00	1066.53	426.61	23.89	-1.00000	0.02987	7.072	38.53	15.00	7.000	40.00
15.00	7.000	45.00	1079.21	431.68	20.40	-1.00000	0.02652	7.059	43.40	15.00	7.000	45.00
15.00	7.000	50.00	1125.15	450.06	21.95	-1.00000	0.02353	7.044	48.26	15.00	7.000	50.00
15.00	7.000	55.00	1188.57	475.43	24.49	-1.00000	0.02073	7.029	53.15	15.00	7.000	55.00
15.00	7.000	60.00	1227.20	490.88	20.88	-1.00000	0.01553	7.015	58.06	15.00	7.000	60.00
15.00	7.000	65.00	1320.32	528.13	22.17	-1.00000	0.01208	7.005	62.91	15.00	7.000	65.00
15.00	7.000	70.00	1411.44	564.58	20.08	-0.64051	0.00695	6.994	67.85	15.00	7.000	70.00
15.00	7.000	75.00	1575.75	630.30	20.64	-0.34956	0.00431	6.985	72.80	15.00	7.000	75.00
15.00	7.000	78.00	1728.08	691.23	23.38	-0.33256	0.00322	6.977	75.71	15.00	7.000	78.00
15.00	7.000	81.00	1916.73	766.69	24.96	-0.28647	0.00198	6.970	78.65	15.00	7.000	81.00
15.00	7.000	84.00	2180.11	872.04	27.28	-0.11052	0.00072	6.964	81.57	15.00	7.000	84.00
15.01	7.000	86.00	2432.37	972.95	30.36	0.14424	-0.00031	6.959	83.58	15.00	7.000	86.00	Current limit exceeded.
--	--	--	--	--	--	--	--	--	--	15.00	7.000	88.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	7.000	90.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	7.000	92.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	7.000	94.00	Measurement skipped. (Current limit exceeded.)
15.01	7.000	96.00	--	--	--	--	--	6.950	93.68	15.00	7.000	96.00	Current limit exceeded.
15.01	7.000	99.00	2212.57	885.03	38.53	0.87482	-0.00565	6.948	97.06	15.00	7.000	99.00
15.01	7.000	102.00	1947.01	778.80	34.43	0.80386	-0.00599	6.946	100.23	15.00	7.000	102.00
15.01	7.000	105.00	1756.95	702.78	32.09	0.64636	-0.00628	6.943	103.31	15.00	7.000	105.00
15.01	7.000	110.00	1551.33	620.53	31.19	0.43432	-0.00666	6.932	108.18	15.00	7.000	110.00
15.01	7.000	115.00	1403.98	561.59	29.61	0.25477	-0.00638	6.916	113.17	15.00	7.000	115.00
15.01	7.000	120.00	1296.35	518.54	28.56	0.06662	-0.00574	6.897	118.25	15.00	7.000	120.00
15.01	7.000	125.00	1224.30	489.72	28.92	-0.07814	-0.00440	6.879	123.28	15.00	7.000	125.00
15.01	7.000	130.00	1174.65	469.86	30.98	-0.22517	-0.00250	6.863	128.33	15.00	7.000	130.00
15.01	7.000	135.00	1124.65	449.86	30.55	-0.36490	-0.00027	6.846	133.41	15.00	7.000	135.00
15.01	7.000	140.00	1074.76	429.91	27.23	-0.63960	0.00317	6.830	138.51	15.00	7.000	140.00
15.01	7.000	145.00	1053.85	421.54	28.46	-0.94021	0.00786	6.816	143.62	15.00	7.000	145.00
15.01	7.000	150.00	1029.80	411.92	28.10	-1.00000	0.00990	6.805	149.81	15.00	7.000	150.00
15.01	7.000	155.00	1011.04	404.42	26.84	-1.00000	0.01294	6.795	154.85	15.00	7.000	155.00
15.00	7.000	160.00	1002.07	400.83	27.03	-1.00000	0.01599	6.785	159.89	15.00	7.000	160.00
15.00	7.000	165.00	996.94	398.78	27.90	-0.90218	0.01875	6.777	164.94	15.00	7.000	165.00
15.00	7.001	170.00	987.91	395.16	26.50	-0.57296	0.02019	6.769	170.01	15.00	7.000	170.00
15.01	7.000	175.00	989.65	395.86	26.94	-0.17753	0.02141	6.761	175.07	15.00	7.000	175.00
15.01	7.000	180.00	992.60	397.04	28.17	0.08794	0.02352	6.753	180.28	15.00	7.000	180.00
15.01	7.000	185.00	997.22	398.89	28.97	-0.21854	0.02684	6.751	185.49	15.00	7.000	185.00
15.01	7.000	190.00	1009.42	403.77	32.03	-0.69454	0.03070	6.754	190.65	15.00	7.000	190.00
15.00	7.000	195.00	1021.10	408.44	33.29	-1.00000	0.03246	6.759	195.80	15.00	7.000	195.00
15.01	7.000	200.00	1030.86	412.34	34.31	-1.00000	0.03278	6.767	200.91	15.00	7.000	200.00
15.00	7.000	205.00	1034.90	413.96	30.10	-1.00000	0.03235	6.778	206.03	15.00	7.000	205.00
15.01	7.000	210.00	1056.57	422.63	31.03	1.00000	0.02778	6.791	211.15	15.00	7.000	210.00
15.01	7.000	215.00	1064.85	425.94	41.58	-1.00000	0.03790	6.806	214.99	15.00	7.000	215.00
15.01	7.000	220.00	1075.56	430.22	24.31	-1.00000	0.03049	6.821	219.89	15.00	7.000	220.00
15.01	7.000	225.00	1137.15	454.86	29.39	-1.00000	0.02869	6.839	224.78	15.00	7.000	225.00
15.01	7.000	230.00	1173.35	469.34	27.66	1.00000	0.02208	6.856	229.62	15.00	7.000	230.00
15.00	7.000	235.00	1225.10	490.04	26.81	-0.93533	0.02359	6.875	234.49	15.00	7.000	235.00
15.01	7.000	240.00	1290.04	516.02	25.52	-0.92700	0.02053	6.894	239.36	15.00	7.000	240.00
